date,day,plant_system,ave_ph,ave_do,ave_tds,ave_temp,ave_humidity,plant_no,height,length,weight,leaves,branches
2026-03-06,Friday,DWC,6.135208333333334,3.6941666666666655,686.5208333333334,23.202291666666667,63.43645833333333,4,33.5,,19.0,205,34
2026-03-09,Monday,AERO,6.208749999999999,3.746875,722.4583333333334,23.081875,63.592083333333335,106,34.9,,34.0,454,41
2026-03-07,Saturday,DWC,6.169791666666666,3.7295833333333337,698.6666666666666,23.24833333333333,63.13520833333333,3,36.7,,14.0,141,23
2026-02-20,Friday,DWC,5.963541666666667,3.6989583333333336,540.2291666666666,23.153125,63.36229166666666,5,41.6,,15.0,94,11
2026-02-21,Saturday,DWC,6.005,3.77,559.3333333333334,23.191875,63.635,2,34.6,,13.0,81,17
2026-02-26,Thursday,AERO,6.064791666666667,3.730625,606.2291666666666,23.171666666666667,63.78083333333333,106,33.1,,26.0,206,31
2026-03-04,Wednesday,AERO,6.136875,3.674166666666667,659.75,23.15416666666667,63.736250000000005,106,34.0,,30.0,310,37
2026-02-14,Saturday,DWC,5.926458333333333,3.5860416666666666,482.5,23.159375,63.02458333333333,4,29.4,,12.0,79,20
2026-03-14,Saturday,DWC,6.246666666666666,3.6754166666666666,766.8125,23.16145833333333,63.254375,5,47.4,,48.0,344,38
2026-03-12,Thursday,DWC,6.239791666666666,3.67875,755.3333333333334,23.250625,62.86541666666667,2,40.3,,21.0,175,44
2026-03-06,Friday,DWC,6.135208333333334,3.6941666666666655,686.5208333333334,23.202291666666667,63.43645833333333,6,39.0,,25.0,185,28
2026-03-16,Monday,DWC,6.276875,3.726458333333333,786.5625,23.263125,63.2775,5,47.4,,49.0,348,38
2026-02-26,Thursday,DWC,6.064791666666667,3.730625,606.2291666666666,23.171666666666667,63.78083333333333,4,31.7,,17.0,209,32
2026-02-23,Monday,DWC,6.030625000000001,3.689375,578.125,23.334375,63.12270833333333,3,34.5,,14.0,92,12
2026-02-18,Wednesday,AERO,5.962083333333333,3.72375,523.0208333333334,23.314375,63.46354166666666,106,31.7,,17.0,128,23
2026-02-07,Saturday,AERO,5.804791666666667,3.647083333333333,408.7291666666667,23.255625,62.98916666666667,105,33.2,,5.0,76,13
2026-02-20,Friday,AERO,5.963541666666667,3.6989583333333336,540.2291666666666,23.153125,63.36229166666666,101,23.0,,15.0,152,15
2026-03-10,Tuesday,AERO,6.212916666666668,3.690625,726.9166666666666,23.27083333333333,63.43395833333333,106,35.2,,35.0,476,44
2026-03-16,Monday,AERO,6.276875,3.726458333333333,786.5625,23.263125,63.2775,105,41.0,,43.0,616,60
2026-03-05,Thursday,DWC,6.1475,3.757708333333333,679.3541666666666,23.203541666666663,63.09020833333333,4,33.3,,19.0,202,32
2026-02-10,Tuesday,DWC,5.869375000000001,3.6966666666666663,445.8125,23.1675,63.1125,3,38.5,,10.0,41,4
